class_index,label_name,title,description,text,binary_label,pred_binary,pred_binary_label,pred_binary_score,tech_category,tech_category_score,tech_category_score_gap,top2_category,top2_score
4,Sci/Tech,The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com),"SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the  #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.","The Race is On: Second Private Team Sets Launch Date for Human Spaceflight (SPACE.com). SPACE.com - TORONTO, Canada -- A second\team of rocketeers competing for the #36;10 million Ansari X Prize, a contest for\privately funded suborbital space flight, has officially announced the first\launch date for its manned rocket.",1,1,tech,0.9591576528669393,Other Tech,0.09567838907241821,0.029853641986846924,Data Engineering/Messaging,0.06582474708557129
4,Sci/Tech,Ky. Company Wins Grant to Study Peptides (AP),"AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.","Ky. Company Wins Grant to Study Peptides (AP). AP - A company founded by a chemistry researcher at the University of Louisville won a grant to develop a method of producing better peptides, which are short chains of amino acids, the building blocks of proteins.",1,1,tech,0.9151715376256309,Other Tech,0.19994457066059113,0.018483057618141174,Collaboration/Utility,0.18146151304244995
4,Sci/Tech,Prediction Unit Helps Forecast Wildfires (AP),"AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.","Prediction Unit Helps Forecast Wildfires (AP). AP - It's barely dawn when Mike Fitzpatrick starts his shift with a blur of colorful maps, figures and endless charts, but already he knows what the day will bring. Lightning will strike in places he expects. Winds will pick up, moist places will dry and flames will roar.",1,1,tech,0.5491571327448297,Other Tech,0.17015498876571655,0.016311556100845337,AI/ML,0.15384343266487122
4,Sci/Tech,Calif. Aims to Limit Farm-Related Smog (AP),"AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.","Calif. Aims to Limit Farm-Related Smog (AP). AP - Southern California's smog-fighting agency went after emissions of the bovine variety Friday, adopting the nation's first rules to reduce air pollution from dairy cow manure.",1,1,tech,0.8847987378526196,Other Tech,0.13788823783397675,0.009746268391609192,Infra/Cloud,0.12814196944236755
4,Sci/Tech,Open Letter Against British Copyright Indoctrination in Schools,"The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.","Open Letter Against British Copyright Indoctrination in Schools. The British Department for Education and Skills (DfES) recently launched a ""Music Manifesto"" campaign, with the ostensible intention of educating the next generation of British musicians. Unfortunately, they also teamed up with the music industry (EMI, and various artists) to make this popular. EMI has apparently negotiated their end well, so that children in our schools will now be indoctrinated about the illegality of downloading music.The ignorance and audacity of this got to me a little, so I wrote an open letter to the DfES about it. Unfortunately, it's pedantic, as I suppose you have to be when writing to goverment representatives. But I hope you find it useful, and perhaps feel inspired to do something similar, if or when the same thing has happened in your area.",1,1,tech,0.998066225173255,Other Tech,0.09085481613874435,0.04264509305357933,Security,0.048209723085165024
4,Sci/Tech,Loosing the War on Terrorism,"\\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\","Loosing the War on Terrorism. \\""Sven Jaschan, self-confessed author of the Netsky and Sasser viruses, is\responsible for 70 percent of virus infections in 2004, according to a six-month\virus roundup published Wednesday by antivirus company Sophos.""\\""The 18-year-old Jaschan was taken into custody in Germany in May by police who\said he had admitted programming both the Netsky and Sasser worms, something\experts at Microsoft confirmed. (A Microsoft antivirus reward program led to the\teenager's arrest.) During the five months preceding Jaschan's capture, there\were at least 25 variants of Netsky and one of the port-scanning network worm\Sasser.""\\""Graham Cluley, senior technology consultant at Sophos, said it was staggeri ...\\",1,1,tech,0.9860941663970603,Other Tech,0.2985684871673584,0.03001609444618225,Other Tech,0.26855239272117615
4,Sci/Tech,"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters",\\FOAF/LOAF  and bloom filters have a lot of interesting properties for social\network and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot.  You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\,"FOAFKey: FOAF, PGP, Key Distribution, and Bloom Filters. \\FOAF/LOAF and bloom filters have a lot of interesting properties for social etwork and whitelist distribution.\\I think we can go one level higher though and include GPG/OpenPGP key\fingerpring distribution in the FOAF file for simple web-of-trust based key\distribution.\\What if we used FOAF and included the PGP key fingerprint(s) for identities?\This could mean a lot. You include the PGP key fingerprints within the FOAF\file of your direct friends and then include a bloom filter of the PGP key\fingerprints of your entire whitelist (the source FOAF file would of course need\to be encrypted ).\\Your whitelist would be populated from the social network as your client\discovered new identit ...\\",1,1,tech,0.9821477795394631,Other Tech,0.21531575918197632,0.028537675738334656,Security,0.18677808344364166
4,Sci/Tech,E-mail scam targets police chief,"Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.","E-mail scam targets police chief. Wiltshire Police warns about ""phishing"" after its fraud squad chief was targeted.",1,1,tech,0.9703975945637205,Other Tech,0.23384293913841248,0.19120922684669495,AI/ML,0.04263371229171753
4,Sci/Tech,Group to Propose New High-Speed Wireless Format," LOS ANGELES (Reuters) - A group of technology companies  including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics  &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they  will propose a new wireless networking standard up to 10 times  the speed of the current generation.","Group to Propose New High-Speed Wireless Format. LOS ANGELES (Reuters) - A group of technology companies including Texas Instruments Inc. &lt;TXN.N&gt;, STMicroelectronics &lt;STM.PA&gt; and Broadcom Corp. &lt;BRCM.O&gt;, on Thursday said they will propose a new wireless networking standard up to 10 times the speed of the current generation.",1,1,tech,0.9707552875529604,Other Tech,0.3510807752609253,0.12152840197086334,Data Engineering/Messaging,0.22955237329006195
4,Sci/Tech,"Apple Launches Graphics Software, Video Bundle", LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on  Tuesday began shipping a new program designed to let users  create real-time motion graphics and unveiled a discount  video-editing software bundle featuring its flagship Final Cut  Pro software.,"Apple Launches Graphics Software, Video Bundle. LOS ANGELES (Reuters) - Apple Computer Inc.&lt;AAPL.O&gt; on Tuesday began shipping a new program designed to let users create real-time motion graphics and unveiled a discount video-editing software bundle featuring its flagship Final Cut Pro software.",1,1,tech,0.9821270731372821,Other Tech,0.21804659068584442,0.012513861060142517,Other Tech,0.2055327296257019
4,Sci/Tech,Dutch Retailer Beats Apple to Local Download Market," AMSTERDAM (Reuters) - Free Record Shop, a Dutch music  retail chain, beat Apple Computer Inc. to market on Tuesday  with the launch of a new download service in Europe's latest  battleground for digital song services.","Dutch Retailer Beats Apple to Local Download Market. AMSTERDAM (Reuters) - Free Record Shop, a Dutch music retail chain, beat Apple Computer Inc. to market on Tuesday with the launch of a new download service in Europe's latest battleground for digital song services.",1,1,tech,0.8852193500388447,Other Tech,0.15726052224636078,0.013115569949150085,Other Tech,0.1441449522972107
4,Sci/Tech,Super ant colony hits Australia,"A giant 100km colony of ants  which has been discovered in Melbourne, Australia, could threaten local insect species.","Super ant colony hits Australia. A giant 100km colony of ants which has been discovered in Melbourne, Australia, could threaten local insect species.",1,1,tech,0.9854413296016391,Other Tech,0.12688222527503967,0.11489196680486202,Infra/Cloud,0.01199025847017765
4,Sci/Tech,Socialites unite dolphin groups,"Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.","Socialites unite dolphin groups. Dolphin groups, or ""pods"", rely on socialites to keep them from collapsing, scientists claim.",1,1,tech,0.997370627664086,Other Tech,0.08812080323696136,0.005162172019481659,DB/Storage,0.0829586312174797
4,Sci/Tech,Teenage T. rex's monster growth,Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.,Teenage T. rex's monster growth. Tyrannosaurus rex achieved its massive size due to an enormous growth spurt during its adolescent years.,1,1,tech,0.9895199131583133,Other Tech,0.11549775302410126,0.035133086144924164,Framework,0.0803646668791771
4,Sci/Tech,Scientists Discover Ganymede has a Lumpy Interior,"Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...","Scientists Discover Ganymede has a Lumpy Interior. Jet Propulsion Lab -- Scientists have discovered irregular lumps beneath the icy surface of Jupiter's largest moon, Ganymede. These irregular masses may be rock formations, supported by Ganymede's icy shell for billions of years...",1,1,tech,0.9318829238790756,Other Tech,0.14338812232017517,0.0028243958950042725,AI/ML,0.1405637264251709
4,Sci/Tech,Mars Rovers Relay Images Through Mars Express,"European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations.     The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...","Mars Rovers Relay Images Through Mars Express. European Space Agency -- ESAs Mars Express has relayed pictures from one of NASA's Mars rovers for the first time, as part of a set of interplanetary networking demonstrations. The demonstrations pave the way for future Mars missions to draw on joint interplanetary networking capabilities...",1,1,tech,0.9889215173611123,Other Tech,0.2578485906124115,0.0012007653713226318,Infra/Cloud,0.25664782524108887
4,Sci/Tech,Rocking the Cradle of Life,"When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.","Rocking the Cradle of Life. When did life begin? One evidential clue stems from the fossil records in Western Australia, although whether these layered sediments are biological or chemical has spawned a spirited debate. Oxford researcher, Nicola McLoughlin, describes some of the issues in contention.",1,1,tech,0.9732109367931665,Other Tech,0.029160689562559128,0.007838185876607895,Framework,0.021322503685951233
4,Sci/Tech,"Storage, servers bruise HP earnings","update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.","Storage, servers bruise HP earnings. update Earnings per share rise compared with a year ago, but company misses analysts' expectations by a long shot.",1,1,tech,0.8078485772426514,Other Tech,0.29964685440063477,0.07959675788879395,DB/Storage,0.22005009651184082
4,Sci/Tech,IBM to hire even more new workers,"By the end of the year, the computing giant plans to have its biggest headcount since 1991.","IBM to hire even more new workers. By the end of the year, the computing giant plans to have its biggest headcount since 1991.",1,1,tech,0.9635250722685339,Other Tech,0.3842836618423462,0.08723556995391846,Infra/Cloud,0.29704809188842773
4,Sci/Tech,Sun's Looking Glass Provides 3D View,Developers get early code for new operating system 'skin' still being crafted.,Sun's Looking Glass Provides 3D View. Developers get early code for new operating system 'skin' still being crafted.,1,1,tech,0.9998598207038191,Framework,0.3908589482307434,0.11796274781227112,Language,0.2728962004184723
4,Sci/Tech,IBM Chips May Someday Heal Themselves,New technology applies electrical fuses to help identify and repair faults.,IBM Chips May Someday Heal Themselves. New technology applies electrical fuses to help identify and repair faults.,1,1,tech,0.9818840325933628,Other Tech,0.3239074945449829,0.09724055230617523,Security,0.22666694223880768
4,Sci/Tech,News: Sluggish movement on power grid cyber security,Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,News: Sluggish movement on power grid cyber security. Industry cyber security standards fail to reach some of the most vulnerable components of the power grid.\,1,1,tech,0.9185347466365068,Security,0.4012366533279419,0.07714685797691345,Other Tech,0.32408979535102844
3,Business,Retailers Vie for Back-To-School Buyers (Reuters),"Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.","Retailers Vie for Back-To-School Buyers (Reuters). Reuters - Apparel retailers are hoping their\back-to-school fashions will make the grade among\style-conscious teens and young adults this fall, but it could\be a tough sell, with students and parents keeping a tighter\hold on their wallets.",0,1,tech,0.5086601228875829,Other Tech,0.12774395942687988,0.02071136236190796,Other Tech,0.10703259706497192
4,Sci/Tech,Spam suspension hits Sohu.com shares (FT.com),"FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.","Spam suspension hits Sohu.com shares (FT.com). FT.com - Shares in Sohu.com, a leading US-listed Chinese internet portal, fell more than 10 per cent on Friday after China's biggest mobile phone network operator imposed a one-year suspension on its multimedia messaging services because of customers being sent spam.",1,1,tech,0.6444543914304282,Other Tech,0.1286076456308365,0.041083939373493195,Collaboration/Utility,0.08752370625734329
