source,title,description,content,url,published_at,text,tech_category,tech_category_score,tech_category_score_gap,top2_category,top2_score
NewsAPI,How to Use Loop in Claude Code : Run Recurring Checks in Your Projects,"The “Loop” feature in Cloud Code offers a focused solution for automating short-term, recurring tasks within a three-day timeframe. As highlighted by Nate Herk | AI Automation, this feature combines the precision of cron jobs with the simplicity of natural la…","The “Loop” feature in Cloud Code offers a focused solution for automating short-term, recurring tasks within a three-day timeframe. As highlighted by Nate Herk | AI Automation, this feature combines … [+6589 chars]",https://www.geeky-gadgets.com/claude-code-loop-cron-session-scheduling/,2026-03-11T07:45:00Z,"How to Use Loop in Claude Code : Run Recurring Checks in Your Projects. The “Loop” feature in Cloud Code offers a focused solution for automating short-term, recurring tasks within a three-day timeframe. As highlighted by Nate Herk | AI Automation, this feature combines the precision of cron jobs with the simplicity of natural la…",DevOps/Automation,0.3042362630367279,0.09400299191474915,Infra/Cloud,0.21023327112197876
NewsAPI,burla 1.4.3,Easy to use cluster-compute software.,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/burla/1.4.3/,2026-03-11T07:44:59Z,burla 1.4.3. Easy to use cluster-compute software.,Other Tech,0.30188673734664917,0.022608786821365356,Data Engineering/Messaging,0.2792779505252838
NewsAPI,matrx-orm 3.0.21,"Async-first PostgreSQL ORM with bidirectional migrations, schema introspection, many-to-many relationships, and built-in state caching. Works with any PostgreSQL database.","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/matrx-orm/3.0.21/,2026-03-11T07:44:36Z,"matrx-orm 3.0.21. Async-first PostgreSQL ORM with bidirectional migrations, schema introspection, many-to-many relationships, and built-in state caching. Works with any PostgreSQL database.",DB/Storage,0.34615078568458557,0.062429279088974,Data Engineering/Messaging,0.2837215065956116
NewsAPI,dmagent 0.10.14,DarkMatter — self-organizing mesh networks for AI agents via MCP,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/dmagent/0.10.14/,2026-03-11T07:44:13Z,dmagent 0.10.14. DarkMatter — self-organizing mesh networks for AI agents via MCP,AI/ML,0.3446974456310272,0.236037477850914,Security,0.10865996778011322
NewsAPI,mixinv2 0.3.0.post81.dev0,"A dependency injection framework with pytest-fixture syntax, plus a configuration language for declarative programming","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/mixinv2/0.3.0.post81.dev0/,2026-03-11T07:42:43Z,"mixinv2 0.3.0.post81.dev0. A dependency injection framework with pytest-fixture syntax, plus a configuration language for declarative programming",Other Tech,0.2032264918088913,0.034285977482795715,Collaboration/Utility,0.16894051432609558
NewsAPI,AutoKernel: Autoresearch for GPU Kernels,"Autoresearch for GPU kernels. Give it any PyTorch model, go to sleep, wake up to optimized Triton kernels. - RightNow-AI/autokernel","Autoresearch for GPU kernels. Give it any PyTorch model, go to sleep, wake up to optimized Triton kernels.
Inspired by @karpathy/autoresearch -- which demonstrated autonomous AI agents for LLM train… [+8109 chars]",https://github.com/RightNow-AI/autokernel,2026-03-11T07:42:10Z,"AutoKernel: Autoresearch for GPU Kernels. Autoresearch for GPU kernels. Give it any PyTorch model, go to sleep, wake up to optimized Triton kernels. - RightNow-AI/autokernel",AI/ML,0.3830794095993042,0.12303873896598816,Framework,0.26004067063331604
NewsAPI,"Digital Marketing Specialist - HYS Enterprise Internship, 25 March","Date: 25 March (Wednesday)Place: Online

Are you ready to kickstart your marketing career in a dynamic and innovative environment? We are looking for a proactive and enthusiastic Digital Marketing Specialist (Intern) to join our team. This is an excellent opp…",Are you ready to kickstart your marketing career in a dynamic and innovative environment? We are looking for a proactive and enthusiastic Digital Marketing Specialist (Intern) to join our team. This … [+1839 chars],https://dou.ua/calendar/56715/,2026-03-11T07:41:31Z,"Digital Marketing Specialist - HYS Enterprise Internship, 25 March. Date: 25 March (Wednesday)Place: Online Are you ready to kickstart your marketing career in a dynamic and innovative environment? We are looking for a proactive and enthusiastic Digital Marketing Specialist (Intern) to join our team. This is an excellent opp…",Other Tech,0.29031044244766235,0.086363285779953,Other Tech,0.20394715666770935
NewsAPI,dmagent 0.10.13,DarkMatter — self-organizing mesh networks for AI agents via MCP,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/dmagent/0.10.13/,2026-03-11T07:40:56Z,dmagent 0.10.13. DarkMatter — self-organizing mesh networks for AI agents via MCP,AI/ML,0.3400121331214905,0.23443232476711273,DevOps/Automation,0.10557980835437775
NewsAPI,hoox-mcp added to PyPI,MCP server for Hoox — AI video generation platform,"Official Model Context Protocol (MCP) server for Hoox the AI video generation platform. This server lets any MCP-compatible client (Claude Desktop, Cursor, Windsurf, etc.) generate videos, manage ava… [+5284 chars]",https://pypi.org/project/hoox-mcp/,2026-03-11T07:40:56Z,hoox-mcp added to PyPI. MCP server for Hoox — AI video generation platform,Other Tech,0.1790045201778412,0.0638980120420456,DevOps/Automation,0.1151065081357956
NewsAPI,hoox-mcp 0.1.0,MCP server for Hoox — AI video generation platform,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/hoox-mcp/0.1.0/,2026-03-11T07:40:56Z,hoox-mcp 0.1.0. MCP server for Hoox — AI video generation platform,Other Tech,0.19382047653198242,0.05874308943748474,Data Engineering/Messaging,0.13507738709449768
