class_index,title,description,content,url,published_at,source,text,tech_pred,tech_score,prediction_confidence,is_uncertain,tech_category,tech_category_score,tech_category_score_gap,top2_category,top2_score
,agentblueprint-ai added to PyPI,CLI and SDK for Agent Blueprint — AI advisory platform for enterprise agentic AI,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/agentblueprint-ai/,2026-03-12T23:59:08Z,NewsAPI,agentblueprint-ai added to PyPI. CLI and SDK for Agent Blueprint — AI advisory platform for enterprise agentic AI,1,0.9911583790267886,0.9823167580535772,False,Other Tech,0.8395858407020569,0.0025507211685180664,AI/ML,0.8370351195335388
,agentblueprint-ai 0.0.1,CLI and SDK for Agent Blueprint — AI advisory platform for enterprise agentic AI,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/agentblueprint-ai/0.0.1/,2026-03-12T23:59:08Z,NewsAPI,agentblueprint-ai 0.0.1. CLI and SDK for Agent Blueprint — AI advisory platform for enterprise agentic AI,1,0.9944721544528083,0.9889443089056167,False,Other Tech,0.8408858776092529,0.0034467577934265137,DevOps & Platform Engineering,0.8374391198158264
,clawmetry 0.12.25,ClawMetry - Real-time observability dashboard for OpenClaw AI agents,"A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/clawmetry/0.12.25/,2026-03-12T23:59:07Z,NewsAPI,clawmetry 0.12.25. ClawMetry - Real-time observability dashboard for OpenClaw AI agents,1,0.990158808717528,0.9803176174350561,False,Other Tech,0.8240774273872375,0.0011666417121887207,DevOps & Platform Engineering,0.8229107856750488
,turnstone 0.5.6,"Multi-node AI orchestration platform with tool use, agent routing, and cluster simulation.","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/turnstone/0.5.6/,2026-03-12T23:58:59Z,NewsAPI,"turnstone 0.5.6. Multi-node AI orchestration platform with tool use, agent routing, and cluster simulation.",1,0.9951993936100735,0.990398787220147,False,Other Tech,0.8359910249710083,0.00040853023529052734,Cloud & Infrastructure,0.8355824947357178
,"Meta delays rollout of new AI model, NYT reports","March 12 : Meta has delayed the release of its artificial intelligence model code-named Avocado to at least May from this month, the New York Times reported on Thursday, citing three people with knowledge of the matter. Reuters could not immediately verify th…","We know it's a hassle to switch browsers but we want your experience with CNA to be fast, secure and the best it can possibly be.
To continue, upgrade to a supported browser or, for the finest exper… [+30 chars]",https://www.channelnewsasia.com/business/meta-delays-rollout-new-ai-model-nyt-reports-5990466,2026-03-12T23:57:00Z,NewsAPI,"Meta delays rollout of new AI model, NYT reports. March 12 : Meta has delayed the release of its artificial intelligence model code-named Avocado to at least May from this month, the New York Times reported on Thursday, citing three people with knowledge of the matter. Reuters could not immediately verify th…",1,0.9894594194046179,0.9789188388092358,False,Other Tech,0.8021292686462402,0.0017232298851013184,Other Tech,0.8004060387611389
,"Meta delays rollout of new AI model code-named 'Avocado,' NYT reports","March 12 : Meta has delayed the release of its artificial intelligence model code-named ""Avocado"" to at least May from this month, the New York Times reported on Thursday, citing three people with knowledge of the matter.The delayed timeline comes even as the…","March 12 : Meta has delayed the release of its artificial intelligence model code-named ""Avocado"" to at least May from this month, the New York Times reported on Thursday, citing three people with kn… [+957 chars]",https://www.channelnewsasia.com/business/meta-delays-rollout-new-ai-model-code-named-avocado-nyt-reports-5990466,2026-03-12T23:57:00Z,NewsAPI,"Meta delays rollout of new AI model code-named 'Avocado,' NYT reports. March 12 : Meta has delayed the release of its artificial intelligence model code-named ""Avocado"" to at least May from this month, the New York Times reported on Thursday, citing three people with knowledge of the matter.The delayed timeline comes even as the…",1,0.9894171331976758,0.9788342663953515,False,Other Tech,0.8027452230453491,0.001532435417175293,Other Tech,0.8012127876281738
,"Meta pushes AI model 'Avocado' rollout to May or later, NYT reports","March 12 : Meta has postponed the release of its artificial intelligence model ""Avocado"" to at least May, from this month, the New York Times reported on Thursday, citing sources.The performance of Meta's new AI model currently falls between Google's AI Gemin…","March 12 : Meta has postponed the release of its artificial intelligence model ""Avocado"" to at least May, from this month, the New York Times reported on Thursday, citing sources.
The performance of… [+1345 chars]",https://www.channelnewsasia.com/business/meta-pushes-ai-model-avocado-rollout-may-or-later-nyt-reports-5990466,2026-03-12T23:57:00Z,NewsAPI,"Meta pushes AI model 'Avocado' rollout to May or later, NYT reports. March 12 : Meta has postponed the release of its artificial intelligence model ""Avocado"" to at least May, from this month, the New York Times reported on Thursday, citing sources.The performance of Meta's new AI model currently falls between Google's AI Gemin…",1,0.9762222168064578,0.9524444336129156,False,Other Tech,0.8046085834503174,0.0070648193359375,Other Tech,0.7975437641143799
,acatome-chat 0.4.0,"AI research assistant — local Ollama or Claude/GPT-4o, switchable. Paper library, doc editing, web search.","A required part of this site couldnt load. This may be due to a browser
 extension, network issues, or browser settings. Please check your
 connection, disable any ad blockers, or try using a diffe… [+12 chars]",https://pypi.org/project/acatome-chat/0.4.0/,2026-03-12T23:55:54Z,NewsAPI,"acatome-chat 0.4.0. AI research assistant — local Ollama or Claude/GPT-4o, switchable. Paper library, doc editing, web search.",1,0.9983751583918659,0.9967503167837317,False,Other Tech,0.8140137791633606,0.0011563897132873535,Programming Languages,0.8128573894500732
,Interview: Taiwan-UK memorandum of understanding could deepen space supply chains and startup ties,"The Industrial Technology Research Institute and the Taiwan Space Industry Development Association signed a memorandum of understanding with the UK aerospace industry association ADS Group at the 2026 Space-Comm Expo in the UK, marking a new milestone in Taiw…","Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",https://www.digitimes.com/news/a20260310PD200/taiwan-itri-uk-startup-2025.html,2026-03-12T23:55:53Z,NewsAPI,"Interview: Taiwan-UK memorandum of understanding could deepen space supply chains and startup ties. The Industrial Technology Research Institute and the Taiwan Space Industry Development Association signed a memorandum of understanding with the UK aerospace industry association ADS Group at the 2026 Space-Comm Expo in the UK, marking a new milestone in Taiw…",1,0.942930445052076,0.885860890104152,False,Other Tech,0.833103358745575,0.014404296875,Other Tech,0.818699061870575
,India's PC shipments hit record in 2025 on AI notebook and enterprise demand,"India's traditional PC market reached a record 15.9 million shipments in 2025, rising 10.2% year over year, according to IDC. Strong enterprise demand, rising adoption of AI-enabled notebooks, and robust notebook sales drove the market to its highest annual v…","Save my User ID and Password
Some subscribers prefer to save their log-in information so they do not have to enter their User ID and Password each time they visit the site. To activate this function… [+307 chars]",https://www.digitimes.com/news/a20260310VL206/pc-2025-demand-shipments-growth.html,2026-03-12T23:54:57Z,NewsAPI,"India's PC shipments hit record in 2025 on AI notebook and enterprise demand. India's traditional PC market reached a record 15.9 million shipments in 2025, rising 10.2% year over year, according to IDC. Strong enterprise demand, rising adoption of AI-enabled notebooks, and robust notebook sales drove the market to its highest annual v…",1,0.9436327886664073,0.8872655773328146,False,Other Tech,0.822435736656189,0.012235403060913086,Other Tech,0.8102003335952759
